movie,year,director,stars,gender
Pulp Fiction,1994,Quentin Tarantino,John Travolta,M
Pulp Fiction,1994,Quentin Tarantino,Uma Thurman,F
Pulp Fiction,1994,Quentin Tarantino,Samuel L. Jackson,M
Pulp Fiction,1994,Quentin Tarantino,Bruce Willis,M
The Amazing Spider-Man 2,2014,Marc Webb,Andrew Garfield,M
The Amazing Spider-Man 2,2014,Marc Webb,Emma Stone,F
The Amazing Spider-Man 2,2014,Marc Webb,Jamie Foxx,M
The Amazing Spider-Man 2,2014,Marc Webb,Paul Giamatti,M
The Shawshank Redemption,1994,Frank Darabont,Tim Robbins,M
The Shawshank Redemption,1994,Frank Darabont,Morgan Freeman,M
The Shawshank Redemption,1994,Frank Darabont,Bob Gunton,M
The Shawshank Redemption,1994,Frank Darabont,William Sadler,M
Star Wars,1977,George Lucas,Mark Hamill,M
Star Wars,1977,George Lucas,Harrison Ford,M
Star Wars,1977,George Lucas,Carrie Fisher,F
Star Wars,1977,George Lucas,Alec Guinness,M
Back to the Future,1985,Robert Zemeckis,Michael J. Fox,M
Back to the Future,1985,Robert Zemeckis,Christopher Lloyd,M
Back to the Future,1985,Robert Zemeckis,Lea Thompson,F
Back to the Future,1985,Robert Zemeckis,Crispin Glover,M
The Breakfast Club,1985,John Hughes,Emilio Estevez,M
The Breakfast Club,1985,John Hughes,Judd Nelson,M
The Breakfast Club,1985,John Hughes,Molly Ringwald,F
The Breakfast Club,1985,John Hughes,Ally Sheedy,F
The Goonies,1985,Richard Donner,Sean Astin,M
The Goonies,1985,Richard Donner,Josh Brolin,M
The Goonies,1985,Richard Donner,Jeff Cohen,M
The Goonies,1985,Richard Donner,Corey Feldman,M
The Silence of the Lambs,1991,Jonathan Demme,Jodie Foster,F
The Silence of the Lambs,1991,Jonathan Demme,Anthony Hopkins,M
The Silence of the Lambs,1991,Jonathan Demme,Lawrence A. Bonney,M
The Silence of the Lambs,1991,Jonathan Demme,Kasi Lemmons,F
Jurassic Park,1993,Steven Spielberg,Sam Neill,M
Jurassic Park,1993,Steven Spielberg,Laura Dern,F
Jurassic Park,1993,Steven Spielberg,Jeff Goldblum,M
Jurassic Park,1993,Steven Spielberg,Richard Attenborough,M
The Lion King,1994,Roger Allers,Rob Minkoff,Na
The Lion King,1994,Roger Allers,Matthew Broderick,M
The Lion King,1994,Roger Allers,Jeremy Irons,M
The Lion King,1994,Roger Allers,James Earl Jones,M
The Lion King,1994,Roger Allers,Whoopi Goldberg,F
Se7en,1995,David Fincher,Morgan Freeman,M
Se7en,1995,David Fincher,Brad Pitt,M
Se7en,1995,David Fincher,Kevin Spacey,M
Se7en,1995,David Fincher,Andrew Kevin Walker,M
Toy Story,1995,John Lasseter,Tom Hanks,M
Toy Story,1995,John Lasseter,Tim Allen,M
Toy Story,1995,John Lasseter,Don Rickles,M
Toy Story,1995,John Lasseter,Jim Varney,M
The Big Lebowski,1998,Joel Coen,Ethan Coen,Na
The Big Lebowski,1998,Joel Coen,Jeff Bridges,M
The Big Lebowski,1998,Joel Coen,John Goodman,M
The Big Lebowski,1998,Joel Coen,Julianne Moore,F
The Big Lebowski,1998,Joel Coen,Steve Buscemi,M
Saving Private Ryan,1998,Steven Spielberg,Tom Hanks,M
Saving Private Ryan,1998,Steven Spielberg,Matt Damon,M
Saving Private Ryan,1998,Steven Spielberg,Tom Sizemore,M
Saving Private Ryan,1998,Steven Spielberg,Edward Burns,M
Fight Club,1999,David Fincher,Brad Pitt,M
Fight Club,1999,David Fincher,Edward Norton,M
Fight Club,1999,David Fincher,Meat Loaf,M
Fight Club,1999,David Fincher,Zach Grenier,M
The Matrix,1999,Lana Wachowski,Lilly Wachowski,Na
The Matrix,1999,Lana Wachowski,Keanu Reeves,M
The Matrix,1999,Lana Wachowski,Laurence Fishburne,M
The Matrix,1999,Lana Wachowski,Carrie-Anne Moss,F
The Matrix,1999,Lana Wachowski,Hugo Weaving,M
Star Wars: Episode I - The Phantom Menace,1999,George Lucas,Ewan McGregor,M
Star Wars: Episode I - The Phantom Menace,1999,George Lucas,Liam Neeson,M
Star Wars: Episode I - The Phantom Menace,1999,George Lucas,Natalie Portman,F
Star Wars: Episode I - The Phantom Menace,1999,George Lucas,Jake Lloyd,M
Gladiator,2000,Ridley Scott,Russell Crowe,M
Gladiator,2000,Ridley Scott,Joaquin Phoenix,M
Gladiator,2000,Ridley Scott,Connie Nielsen,F
Gladiator,2000,Ridley Scott,Oliver Reed,M
X-Men,2000,Bryan Singer,Patrick Stewart,M
X-Men,2000,Bryan Singer,Hugh Jackman,M
X-Men,2000,Bryan Singer,Ian McKellen,M
X-Men,2000,Bryan Singer,Famke Janssen,F
Harry Potter and the Sorcerer's Stone,2001,Chris Columbus,Daniel Radcliffe,M
Harry Potter and the Sorcerer's Stone,2001,Chris Columbus,Rupert Grint,M
Harry Potter and the Sorcerer's Stone,2001,Chris Columbus,Richard Harris,M
Harry Potter and the Sorcerer's Stone,2001,Chris Columbus,Maggie Smith,F
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,Elijah Wood,M
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,Ian McKellen,M
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,Orlando Bloom,M
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,Sean Bean,M
The Lord of the Rings: The Two Towers,2002,Peter Jackson,Elijah Wood,M
The Lord of the Rings: The Two Towers,2002,Peter Jackson,Ian McKellen,M
The Lord of the Rings: The Two Towers,2002,Peter Jackson,Viggo Mortensen,M
The Lord of the Rings: The Two Towers,2002,Peter Jackson,Orlando Bloom,M
xXx,2002,Rob Cohen,Vin Diesel,M
xXx,2002,Rob Cohen,Asia Argento,F
xXx,2002,Rob Cohen,Marton Csokas,M
xXx,2002,Rob Cohen,Samuel L. Jackson,M
Finding Nemo,2003,Andrew Stanton,Lee Unkrich,Na
Finding Nemo,2003,Andrew Stanton,Albert Brooks,M
Finding Nemo,2003,Andrew Stanton,Ellen DeGeneres,F
Finding Nemo,2003,Andrew Stanton,Alexander Gould,M
Finding Nemo,2003,Andrew Stanton,Willem Dafoe,M
The Lord of the Rings: The Return of the King,2003,Peter Jackson,Elijah Wood,M
The Lord of the Rings: The Return of the King,2003,Peter Jackson,Viggo Mortensen,M
The Lord of the Rings: The Return of the King,2003,Peter Jackson,Ian McKellen,M
The Lord of the Rings: The Return of the King,2003,Peter Jackson,Orlando Bloom,M
Anchorman: The Legend of Ron Burgundy,2004,Adam McKay,Will Ferrell,M
Anchorman: The Legend of Ron Burgundy,2004,Adam McKay,Christina Applegate,F
Anchorman: The Legend of Ron Burgundy,2004,Adam McKay,Steve Carell,M
Anchorman: The Legend of Ron Burgundy,2004,Adam McKay,Paul Rudd,M
Mean Girls,2004,Mark Waters,Lindsay Lohan,F
Mean Girls,2004,Mark Waters,Jonathan Bennett,M
Mean Girls,2004,Mark Waters,Rachel McAdams,F
Mean Girls,2004,Mark Waters,Tina Fey,F
Sin City,2005,Frank Miller,Quentin Tarantino,M
Sin City,2005,Frank Miller,Robert Rodriguez,Na
Sin City,2005,Frank Miller,Mickey Rourke,M
Sin City,2005,Frank Miller,Clive Owen,M
Sin City,2005,Frank Miller,Bruce Willis,M
Sin City,2005,Frank Miller,Jessica Alba,F
Star Wars: Episode III - Revenge of the Sith,2005,George Lucas,Hayden Christensen,M
Star Wars: Episode III - Revenge of the Sith,2005,George Lucas,Natalie Portman,F
Star Wars: Episode III - Revenge of the Sith,2005,George Lucas,Ewan McGregor,M
Star Wars: Episode III - Revenge of the Sith,2005,George Lucas,Samuel L. Jackson,M
Batman Begins,2005,Christopher Nolan,Christian Bale,M
Batman Begins,2005,Christopher Nolan,Michael Caine,M
Batman Begins,2005,Christopher Nolan,Ken Watanabe,M
Batman Begins,2005,Christopher Nolan,Liam Neeson,M
The Departed,2006,Martin Scorsese,Leonardo DiCaprio,M
The Departed,2006,Martin Scorsese,Matt Damon,M
The Departed,2006,Martin Scorsese,Jack Nicholson,M
The Departed,2006,Martin Scorsese,Mark Wahlberg,M
The Prestige,2006,Christopher Nolan,Christian Bale,M
The Prestige,2006,Christopher Nolan,Hugh Jackman,M
The Prestige,2006,Christopher Nolan,Scarlett Johansson,F
The Prestige,2006,Christopher Nolan,Michael Caine,M
V for Vendetta,2005,James McTeigue,Hugo Weaving,M
V for Vendetta,2005,James McTeigue,Natalie Portman,F
V for Vendetta,2005,James McTeigue,Rupert Graves,M
V for Vendetta,2005,James McTeigue,Stephen Rea,M
Casino Royale,2006,Martin Campbell,Daniel Craig,M
Casino Royale,2006,Martin Campbell,Eva Green,F
Casino Royale,2006,Martin Campbell,Judi Dench,F
Casino Royale,2006,Martin Campbell,Jeffrey Wright,M
Transformers,2007,Michael Bay,Shia LaBeouf,M
Transformers,2007,Michael Bay,Megan Fox,F
Transformers,2007,Michael Bay,Josh Duhamel,M
Transformers,2007,Michael Bay,Tyrese Gibson,M
The Dark Knight,2008,Christopher Nolan,Christian Bale,M
The Dark Knight,2008,Christopher Nolan,Heath Ledger,M
The Dark Knight,2008,Christopher Nolan,Aaron Eckhart,M
The Dark Knight,2008,Christopher Nolan,Michael Caine,M
Iron Man,2008,Jon Favreau,Robert Downey Jr.,M
Iron Man,2008,Jon Favreau,Gwyneth Paltrow,F
Iron Man,2008,Jon Favreau,Terrence Howard,M
Iron Man,2008,Jon Favreau,Jeff Bridges,M
Quantum of Solace,2008,Marc Forster,Daniel Craig,M
Quantum of Solace,2008,Marc Forster,Olga Kurylenko,F
Quantum of Solace,2008,Marc Forster,Mathieu Amalric,M
Quantum of Solace,2008,Marc Forster,Judi Dench,F
Tropic Thunder,2008,Ben Stiller,Jack Black,M
Tropic Thunder,2008,Ben Stiller,Robert Downey Jr.,M
Tropic Thunder,2008,Ben Stiller,Jeff Kahn,M
G.I. Joe: The Rise of Cobra,2009,Stephen Sommers,Dennis Quaid,M
G.I. Joe: The Rise of Cobra,2009,Stephen Sommers,Channing Tatum,M
G.I. Joe: The Rise of Cobra,2009,Stephen Sommers,Marlon Wayans,M
G.I. Joe: The Rise of Cobra,2009,Stephen Sommers,Adewale Akinnuoye-Agbaje,M
The Hangover,2009,Todd Phillips,Zach Galifianakis,M
The Hangover,2009,Todd Phillips,Bradley Cooper,M
The Hangover,2009,Todd Phillips,Justin Bartha,M
The Hangover,2009,Todd Phillips,Ed Helms,M
Inglourious Basterds,2009,Quentin Tarantino,Brad Pitt,M
Inglourious Basterds,2009,Quentin Tarantino,Diane Kruger,F
Inglourious Basterds,2009,Quentin Tarantino,Eli Roth,M
Inglourious Basterds,2009,Quentin Tarantino,Mélanie Laurent,F
Star Trek,2009,J.J. Abrams,Chris Pine,M
Star Trek,2009,J.J. Abrams,Zachary Quinto,M
Star Trek,2009,J.J. Abrams,Simon Pegg,M
Star Trek,2009,J.J. Abrams,Leonard Nimoy,M
Taken,2008,Pierre Morel,Liam Neeson,M
Taken,2008,Pierre Morel,Maggie Grace,F
Taken,2008,Pierre Morel,Famke Janssen,F
Taken,2008,Pierre Morel,Leland Orser,M
Up,2009,Pete Docter,Bob Peterson,M
Up,2009,Pete Docter,Edward Asner,M
Up,2009,Pete Docter,Jordan Nagai,M
Up,2009,Pete Docter,John Ratzenberger,M
Up,2009,Pete Docter,Christopher Plummer,M
X-Men Origins: Wolverine,2009,Gavin Hood,Hugh Jackman,M
X-Men Origins: Wolverine,2009,Gavin Hood,Liev Schreiber,M
X-Men Origins: Wolverine,2009,Gavin Hood,Ryan Reynolds,M
X-Men Origins: Wolverine,2009,Gavin Hood,Danny Huston,M
Zombieland,2009,Ruben Fleischer,Jesse Eisenberg,M
Zombieland,2009,Ruben Fleischer,Emma Stone,F
Zombieland,2009,Ruben Fleischer,Woody Harrelson,M
Zombieland,2009,Ruben Fleischer,Abigail Breslin,F
2012,2009,Roland Emmerich,John Cusack,M
2012,2009,Roland Emmerich,Thandiwe Newton,F
2012,2009,Roland Emmerich,Chiwetel Ejiofor,M
2012,2009,Roland Emmerich,Amanda Peet,F
Avatar,2009,James Cameron,Sam Worthington,M
Avatar,2009,James Cameron,Zoe Saldana,F
Avatar,2009,James Cameron,Sigourney Weaver,F
Avatar,2009,James Cameron,Michelle Rodriguez,F
Despicable Me,2010,Pierre Coffin,Chris Renaud,M
Despicable Me,2010,Pierre Coffin,Steve Carell,M
Despicable Me,2010,Pierre Coffin,Jason Segel,M
Despicable Me,2010,Pierre Coffin,Russell Brand,M
Despicable Me,2010,Pierre Coffin,Julie Andrews,F
Grown Ups,2010,Dennis Dugan,Adam Sandler,M
Grown Ups,2010,Dennis Dugan,Salma Hayek,F
Grown Ups,2010,Dennis Dugan,Kevin James,M
Grown Ups,2010,Dennis Dugan,Chris Rock,M
How to Train Your Dragon,2010,Dean DeBlois,Chris Sanders,M
How to Train Your Dragon,2010,Dean DeBlois,Jay Baruchel,M
How to Train Your Dragon,2010,Dean DeBlois,Gerard Butler,M
How to Train Your Dragon,2010,Dean DeBlois,Christopher Mintz-Plasse,M
How to Train Your Dragon,2010,Dean DeBlois,Craig Ferguson,M
Inception,2010,Christopher Nolan,Leonardo DiCaprio,M
Inception,2010,Christopher Nolan,Joseph Gordon-Levitt,M
Inception,2010,Christopher Nolan,Elliot Page,M
Inception,2010,Christopher Nolan,Ken Watanabe,M
Iron Man 2,2010,Jon Favreau,Robert Downey Jr.,M
Iron Man 2,2010,Jon Favreau,Mickey Rourke,M
Iron Man 2,2010,Jon Favreau,Gwyneth Paltrow,F
Iron Man 2,2010,Jon Favreau,Don Cheadle,M
Kick-Ass,2010,Matthew Vaughn,Aaron Taylor-Johnson,M
Kick-Ass,2010,Matthew Vaughn,Nicolas Cage,M
Kick-Ass,2010,Matthew Vaughn,Chloë Grace Moretz,F
Kick-Ass,2010,Matthew Vaughn,Garrett M. Brown,M
RED,2010,Robert Schwentke,Bruce Willis,M
RED,2010,Robert Schwentke,Helen Mirren,F
RED,2010,Robert Schwentke,Morgan Freeman,M
RED,2010,Robert Schwentke,Mary-Louise Parker,F
Shutter Island,2010,Martin Scorsese,Leonardo DiCaprio,M
Shutter Island,2010,Martin Scorsese,Emily Mortimer,F
Shutter Island,2010,Martin Scorsese,Mark Ruffalo,M
Shutter Island,2010,Martin Scorsese,Ben Kingsley,M
Tron,2010,Joseph Kosinski,Jeff Bridges,M
Tron,2010,Joseph Kosinski,Garrett Hedlund,M
Tron,2010,Joseph Kosinski,Olivia Wilde,F
Tron,2010,Joseph Kosinski,Bruce Boxleitner,M
Toy Story 3,2010,Lee Unkrich,Tom Hanks,M
Toy Story 3,2010,Lee Unkrich,Tim Allen,M
Toy Story 3,2010,Lee Unkrich,Joan Cusack,F
Toy Story 3,2010,Lee Unkrich,Ned Beatty,M
Drive,2011,Nicolas Winding Refn,Ryan Gosling,M
Drive,2011,Nicolas Winding Refn,Carey Mulligan,F
Drive,2011,Nicolas Winding Refn,Bryan Cranston,M
Drive,2011,Nicolas Winding Refn,Albert Brooks,M
Fast Five,2011,Justin Lin,Vin Diesel,M
Fast Five,2011,Justin Lin,Paul Walker,M
Fast Five,2011,Justin Lin,Dwayne Johnson,M
Fast Five,2011,Justin Lin,Jordana Brewster,F
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,Daniel Radcliffe,M
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,Emma Watson,F
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,Rupert Grint,M
